2024,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
SOL,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 957,63","R$ 929,73","R$ 768,37","R$ 768,37","R$ 768,37","R$ 768,37","R$ 768,37"
CARTÃO DE CRÉDITO,,,,,,"R$ 279,73","R$ 279,73","R$ 118,37","R$ 118,37","R$ 118,37","R$ 118,37","R$ 118,37"
SPOTIFY,,,,,,"R$ 27,90",,,,,,
TIM 5G,,,,,,,,,,,,
AMAZON,,,,,,,,,,,,
MERCADO,,,,,,,,,,,,
HIGIENE,,,,,,,,,,,,
ALUGUEL,,,,,,"R$ 650,00","R$ 650,00","R$ 650,00","R$ 650,00","R$ 650,00","R$ 650,00","R$ 650,00"
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
CONTAS CONJUNTAS,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
ALUGUEL,,,,,,,,,,,,
LUZ,,,,,,,,,,,,
ÁGUA,,,,,,,,,,,,
GÁS,,,,,,,,,,,,
INTERNET,,,,,,,,,,,,
MERCADO,,,,,,,,,,,,
HIGIENE,,,,,,,,,,,,
ALIMENTO,,,,,,,,,,,,
FARMÁCIA,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
-,,,,,,,,,,,,
